Model,Creator,GDPvalAAv2,Tau3Banking,TerminalBenchv21,SciCode,AA-LCR,AA-OmniscienceAccuracy,HLE,GPQADiamond,CritPt,真实覆盖,补全分量,GDPvalAAv2补全,Tau3Banking补全,TerminalBenchv21补全,SciCode补全,AA-LCR补全,AA-OmniscienceAccuracy补全,HLE补全,GPQADiamond补全,CritPt补全
DiffusionGemma 26B A4B,Google,3.00,6.73,12.00,34.00,18.00,17.00,11.00,67.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
Gemma 4 12B (Non-reasoning),Google,33.34,11.37,46.12,30.00,31.00,12.00,6.00,66.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Motif-2-12.7B,Motif Technologies,1.30,5.98,8.59,28.00,13.00,15.00,9.00,69.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Nova Premier,Amazon,7.60,9.14,23.24,28.00,31.00,21.00,4.00,57.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
K2-V2 (medium),MBZUAI Institute of Foundation Models,5.08,8.03,19.73,25.00,28.00,18.00,4.00,60.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Llama Nemotron Super 49B v1.5,NVIDIA,2.25,6.10,9.76,24.00,24.00,13.00,4.00,48.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Celeris-1,Celeris,2.00,4.00,11.00,21.00,37.00,11.00,7.00,63.00,0.00,100%,,0,0,0,0,0,0,0,0,0
Mistral Small 4,Mistral,4.00,5.00,21.00,38.00,47.00,22.00,10.00,77.00,0.00,67%,,0,0,0,0,0,0,0,0,0
Tri-21B-Think,Trillion Labs,0.63,5.90,7.69,17.00,15.00,12.00,6.00,60.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Gemma 4 E4B,Google,0.12,4.59,3.78,4.00,22.00,8.00,5.00,55.00,0.00,89%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
MiniCPM5-1B,OpenBMB,0.00,4.84,0.18,1.00,5.00,0.00,5.00,27.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Sarvam 105B (high),Sarvam,1.00,6.29,6.96,26.00,0.00,18.00,11.00,74.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Nova 2.0 Lite,Amazon,1.37,6.50,10.46,24.00,18.00,14.00,3.00,60.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
MiniCPM5-1B,OpenBMB,0.00,4.84,0.18,1.00,5.00,0.00,5.00,27.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Magistral Small 1.2,Mistral,0.00,5.00,4.00,35.00,18.00,13.00,6.00,66.00,0.00,100%,,0,0,0,0,0,0,0,0,0
Ministral 3 14B,Mistral,0.00,7.00,10.00,24.00,25.00,14.00,5.00,57.00,0.00,100%,,0,0,0,0,0,0,0,0,0
Nanbeige4.1-3B,Nanbeige,0.00,6.66,1.00,27.00,0.00,10.00,11.00,85.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
EXAONE 4.0 32B,LG AI Research,1.23,6.07,8.97,25.00,9.00,11.00,5.00,63.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Nova 2.0 Omni,Amazon,4.20,7.82,15.82,28.00,24.00,13.00,4.00,55.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Llama 4 Scout,Meta,0.00,3.00,4.00,17.00,30.00,15.00,4.00,59.00,0.00,100%,,0,0,0,0,0,0,0,0,0
Hermes 4 70B,Nous Research,0.39,5.28,5.31,28.00,3.00,19.00,4.00,49.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Falcon-H1R-7B,TII UAE,1.44,6.08,9.04,25.00,11.00,15.00,11.00,66.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Gemma 4 E2B,Google,0.00,4.82,1.40,20.00,15.00,8.00,5.00,41.00,0.00,89%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Qwen3 Omni 30B A3B,Alibaba,1.07,5.99,7.82,19.00,0.00,14.00,5.00,62.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Step3 VL 10B,StepFun,1.18,6.17,7.73,31.00,0.00,13.00,11.00,69.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Llama 3.3 70B,Meta,0.00,4.82,5.00,26.00,16.00,19.00,4.00,50.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
Ministral 3 8B,Mistral,0.00,4.00,4.00,21.00,25.00,13.00,4.00,47.00,0.00,100%,,0,0,0,0,0,0,0,0,0
Llama Nemotron Ultra,NVIDIA,1.35,6.25,8.33,35.00,8.00,20.00,7.00,73.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
ERNIE 4.5 300B A47B,Baidu,1.19,6.31,7.72,31.00,4.00,19.00,3.00,81.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Hermes 4 405B,Nous Research,7.28,8.80,21.02,35.00,21.00,26.00,4.00,54.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
NVIDIA Nemotron Nano 12B v2 VL,NVIDIA,0.43,4.91,4.37,18.00,20.00,12.00,4.00,44.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Gemma 4 E4B,Google,0.12,4.59,3.78,4.00,22.00,8.00,5.00,55.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Granite 4.1 30B,IBM,0.00,4.87,3.00,26.00,20.00,14.00,4.00,48.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
NVIDIA Nemotron Nano 9B V2,NVIDIA,1.30,6.29,10.31,21.00,26.00,10.00,5.00,56.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Hermes 4 405B,Nous Research,7.28,8.80,21.02,35.00,21.00,26.00,4.00,54.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Nemotron 3 Nano 4B,NVIDIA,0.00,4.97,4.00,16.00,17.00,10.00,5.00,51.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
Llama Nemotron Super 49B v1.5,NVIDIA,2.25,6.10,9.76,24.00,24.00,13.00,4.00,48.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
K2-V2 (low),MBZUAI Institute of Foundation Models,0.67,6.04,8.31,22.00,20.00,16.00,4.00,54.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Kimi Linear 48B A3B Instruct,Kimi,0.53,4.87,4.88,20.00,27.00,14.40,2.00,41.00,0.00,44%,"AA-OmniscienceAccuracy,CritPt,GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,1,0,0,1
Llama 3.1 405B,Meta,8.75,9.60,24.25,30.00,25.00,23.00,4.00,52.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
LFM2.5-8B-A1B,Liquid AI,0.12,5.06,3.06,8.00,0.00,9.00,7.00,51.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Ring-flash-2.0,InclusionAI,4.57,7.13,23.86,17.00,24.00,17.00,10.00,73.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Olmo 3.1 32B Think,Allen Institute for AI,1.16,6.08,8.14,29.00,0.00,14.00,6.00,59.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Command A,Cohere,3.11,6.80,11.90,28.00,20.00,16.00,4.00,53.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Qwen3.5 2B,Alibaba,0.00,4.77,0.00,7.00,15.00,7.00,5.00,44.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
Llama 3.1 Nemotron 70B,NVIDIA,0.10,5.00,3.80,23.00,7.00,18.00,4.00,46.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Nemotron 3 Nano,NVIDIA,0.00,6.00,7.00,30.00,37.00,17.00,11.00,76.00,1.00,78%,,0,0,0,0,0,0,0,0,0
NVIDIA Nemotron Nano 9B V2,NVIDIA,1.30,6.29,10.31,21.00,26.00,10.00,5.00,56.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Ministral 3 3B,Mistral,0.00,5.00,0.00,14.00,16.00,9.00,5.00,36.00,0.00,100%,,0,0,0,0,0,0,0,0,0
Hermes 4 70B,Nous Research,0.39,5.28,5.31,28.00,3.00,19.00,4.00,49.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Granite 4.1 8B,IBM,0.00,4.85,3.00,22.00,11.00,12.00,4.00,43.00,0.00,78%,"GDPvalAAv2,Tau3Banking",1,1,0,0,0,0,0,0,0
Sarvam 30B (high),Sarvam,1.10,6.11,7.94,19.00,0.00,13.00,8.00,63.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Olmo 3.1 32B Instruct,Allen Institute for AI,0.59,5.53,5.67,17.00,0.00,12.00,5.00,54.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Gemma 4 E2B,Google,0.00,4.82,1.40,20.00,15.00,8.00,5.00,41.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
R1 1776,Perplexity,,,,,,,,,,0%,,0,0,0,0,0,0,0,0,0
Llama 3.2 90B (Vision),Meta,0.09,4.89,3.10,24.00,12.85,13.38,4.00,43.00,0.00,33%,"AA-LCR,AA-OmniscienceAccuracy,CritPt,GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,1,1,0,0,1
Phi-4 Mini,Microsoft,0.00,4.76,0.00,11.00,17.00,10.00,4.00,33.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
EXAONE 4.0 32B,LG AI Research,1.23,6.07,8.97,25.00,9.00,11.00,5.00,63.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Qwen3.5 2B,Alibaba,0.00,4.77,0.00,7.00,15.00,7.00,5.00,44.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
Qwen3.5 0.8B,Alibaba,0.00,4.85,0.00,3.00,9.00,5.00,5.00,24.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
DeepHermes 3 - Mistral 24B,Nous Research,0.11,4.82,2.95,23.00,16.45,14.01,4.00,38.00,0.00,33%,"AA-LCR,AA-OmniscienceAccuracy,CritPt,GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,1,1,0,0,1
Jamba 1.7 Large,AI21 Labs,0.00,4.71,3.01,19.00,18.00,21.00,4.00,39.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Granite 4.0 H Small,IBM,0.02,4.87,2.58,21.00,11.00,14.00,4.00,42.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Qwen3 Omni 30B A3B,Alibaba,1.07,5.99,7.82,19.00,0.00,14.00,5.00,62.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
LFM2 24B A2B,Liquid AI,0.17,5.06,2.86,11.00,0.00,6.00,4.00,47.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Phi-4,Microsoft,0.93,5.86,7.24,26.00,0.00,14.00,4.00,57.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Nova Micro,Amazon,0.00,4.85,0.17,9.00,11.00,10.00,5.00,36.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Granite 4.1 3B,IBM,0.00,4.84,1.00,12.00,3.00,9.00,3.00,31.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
NVIDIA Nemotron Nano 12B v2 VL,NVIDIA,0.43,4.91,4.37,18.00,20.00,12.00,4.00,44.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Phi-4 Multimodal,Microsoft,0.00,4.82,0.36,11.00,11.24,9.82,5.00,32.00,0.00,33%,"AA-LCR,AA-OmniscienceAccuracy,CritPt,GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,1,1,0,0,1
MiniCPM-V 4.6 1.3B,OpenBMB,0.00,4.84,0.00,2.00,7.00,7.00,5.00,31.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
Jamba Reasoning 3B,AI21 Labs,0.00,4.83,0.21,6.00,8.00,7.00,4.00,33.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Reka Flash 3,Reka AI,0.72,5.65,6.42,27.00,0.00,14.00,4.00,53.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Olmo 3 7B Think,Allen Institute for AI,0.83,5.76,6.77,21.00,0.00,11.00,6.00,52.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Molmo 7B-D,Allen Institute for AI,0.02,4.87,0.66,4.00,0.00,6.86,5.00,24.00,0.00,44%,"AA-OmniscienceAccuracy,CritPt,GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,1,0,0,1
Llama 3.2 11B (Vision),Meta,0.00,4.85,0.07,11.00,16.00,11.00,6.00,22.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Qwen3.5 0.8B,Alibaba,0.00,4.85,0.00,3.00,9.00,5.00,5.00,24.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
Exaone 4.0 1.2B,LG AI Research,0.15,5.04,2.53,7.00,0.00,5.00,6.00,42.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Olmo 3 7B,Allen Institute for AI,0.13,5.01,2.27,10.00,0.00,7.00,6.00,40.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Exaone 4.0 1.2B,LG AI Research,0.15,5.04,2.53,7.00,0.00,5.00,6.00,42.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
LFM2.5-1.2B-Thinking,Liquid AI,0.06,4.91,1.18,4.00,0.00,7.00,6.00,34.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Jamba 1.7 Mini,AI21 Labs,0.00,4.84,0.07,9.00,15.00,11.00,4.00,32.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
LFM2 2.6B,Liquid AI,0.02,4.86,0.62,3.00,0.00,5.00,5.00,31.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
LFM2.5-1.2B-Instruct,Liquid AI,0.04,4.89,0.90,2.00,0.00,7.00,7.00,33.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Granite 4.0 H 1B,IBM,0.00,4.84,0.26,8.00,6.00,5.00,5.00,26.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Gemma 3 270M,Google,0.01,4.85,0.36,0.00,0.00,1.00,4.00,22.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Apertus 70B Instruct,Swiss AI Initiative,0.02,4.87,0.80,6.00,0.00,12.00,5.00,27.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Granite 4.0 Micro,IBM,0.02,4.86,0.75,12.00,6.00,9.00,5.00,34.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
DeepHermes 3 - Llama-3.1 8B,Nous Research,0.00,4.84,0.45,9.00,5.66,7.46,4.00,27.00,0.00,33%,"AA-LCR,AA-OmniscienceAccuracy,CritPt,GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,1,1,0,0,1
Granite 4.0 1B,IBM,0.00,4.84,0.40,9.00,6.00,6.00,5.00,28.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Molmo2-8B,Allen Institute for AI,0.12,5.01,2.37,13.00,0.00,11.00,4.00,43.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
LFM2 8B A1B,Liquid AI,0.05,4.90,1.17,7.00,1.00,8.00,5.00,34.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
LFM2.5-VL-1.6B,Liquid AI,0.03,4.88,0.86,3.00,0.00,6.00,5.00,29.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Granite 4.0 350M,IBM,0.02,4.87,0.59,1.00,0.00,4.00,6.00,26.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Tiny Aya Global,Cohere,0.03,4.88,0.86,4.00,0.00,6.00,5.00,31.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Apertus 8B Instruct,Swiss AI Initiative,0.03,4.87,0.76,4.00,0.00,10.00,5.00,26.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Granite 4.0 H 350M,IBM,0.02,4.87,0.64,2.00,0.00,4.00,6.00,26.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Claude Sonnet 5 (low),Anthropic,36.00,23.00,64.00,48.00,75.00,32.00,33.00,90.00,5.00,11%,"AA-LCR,AA-OmniscienceAccuracy,CritPt,GPQADiamond,HLE,SciCode,Tau3Banking,TerminalBenchv21",0,1,1,1,1,1,1,1,1
EXAONE 4.5 33B,LG AI Research,9.00,7.22,21.00,28.00,52.00,16.00,13.00,79.00,0.00,0%,Tau3Banking,0,1,0,0,0,0,0,0,0
Claude Sonnet 5 (xhigh),Anthropic,50.00,35.00,78.00,54.00,79.00,39.00,40.00,90.50,15.00,11%,"AA-LCR,AA-OmniscienceAccuracy,CritPt,GPQADiamond,HLE,SciCode,Tau3Banking,TerminalBenchv21",0,1,1,1,1,1,1,1,1
Gemini 3 Deep Think,Google,56.00,37.00,87.00,57.00,75.00,58.00,46.00,93.00,26.00,11%,"AA-LCR,AA-OmniscienceAccuracy,GDPvalAAv2,GPQADiamond,HLE,SciCode,Tau3Banking,TerminalBenchv21",1,1,1,1,1,1,1,1,0
Claude Sonnet 5 (high),Anthropic,45.00,21.50,62.00,43.00,57.50,32.50,21.50,78.00,10.00,11%,"AA-LCR,AA-OmniscienceAccuracy,CritPt,GPQADiamond,HLE,SciCode,Tau3Banking,TerminalBenchv21",0,1,1,1,1,1,1,1,1
GPT-5.5 Pro (xhigh),OpenAI,59.71,40.86,88.00,56.00,77.86,56.71,48.71,93.29,31.00,11%,"AA-LCR,AA-OmniscienceAccuracy,GDPvalAAv2,GPQADiamond,HLE,SciCode,Tau3Banking,TerminalBenchv21",1,1,1,1,1,1,1,1,0
Cogito v2.1,Deep Cogito,4.11,6.94,22.20,41.00,22.00,30.00,12.00,77.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Claude Sonnet 5 (medium),Anthropic,40.00,28.00,64.50,48.00,68.50,42.00,36.50,90.00,11.50,11%,"AA-LCR,AA-OmniscienceAccuracy,CritPt,GPQADiamond,HLE,SciCode,Tau3Banking,TerminalBenchv21",0,1,1,1,1,1,1,1,1
